,isDGA,domain,length,digits,entropy,vowel_cons,firstDigitIndex,ngrams
1124,0,wallpaperstop,13,0,3.0269868333592873,0.4444444444444444,0,1470.1196581196582
1125,0,tra,3,0,1.584962500721156,0.5,0,1545.1666666666667
1126,0,businessvibes,13,0,2.623516641218015,0.625,0,984.9862082362082
1127,0,administrator,13,0,3.085055102756477,0.625,0,1430.5565268065268
1128,0,machexpo,8,0,3.0,0.6,0,961.9285714285714
1129,0,mahaconnect,11,0,2.9139770731827523,0.5714285714285714,0,1259.7148148148146
1130,0,sublet,6,0,2.584962500721156,0.5,0,1334.9333333333334
1131,0,efe,3,0,0.9182958340544896,2.0,0,1813.5555555555557
1132,0,animestigma,11,0,2.9139770731827523,0.8333333333333334,0,887.3020202020203
1133,0,hnzxyy,6,0,2.2516291673878226,0.0,0,402.6333333333334
1134,0,newfrog,7,0,2.807354922057604,0.4,0,1335.3555555555556
1135,0,routeripaddress,15,0,3.189898095464288,0.6666666666666666,0,1823.1291819291819
1136,0,xchange,7,0,2.807354922057604,0.4,0,1011.1349206349206
1137,0,cashgenerator,13,0,3.238901256602631,0.625,0,1668.6231546231547
1138,0,callbuster,10,0,3.121928094887362,0.42857142857142855,0,1472.8055555555554
1139,0,linekong,8,0,2.75,0.6,0,1094.9880952380952
1140,0,serpmonster,11,0,2.9139770731827523,0.375,0,2477.2454545454543
1141,0,am15,4,2,2.0,1.0,3,23.666666666666668
1142,0,diariocorreo,12,0,2.625814583693911,1.4,0,1309.4727272727273
1143,0,happify,7,0,2.5216406363433186,0.4,0,1494.984126984127
1144,0,proline,7,0,2.807354922057604,0.75,0,1604.1238095238095
1145,0,interiorspread,14,0,3.182005814760214,0.75,0,1249.0555555555554
1146,0,pussyspot,9,0,2.4193819456463714,0.2857142857142857,0,1196.626984126984
1147,0,anaqamaghribia,14,0,2.835237745312118,1.0,0,1066.822954822955
1148,0,cthouse,7,0,2.807354922057604,0.75,0,1126.0825396825396
1149,0,schools9,8,1,2.5,0.4,8,2107.464285714286
1150,0,losviajeros,11,0,3.0957952550009344,0.8333333333333334,0,1821.401346801347
1151,0,ip-tracker,10,0,3.121928094887362,0.5,0,655.825925925926
1152,0,filenori,8,0,2.75,1.0,0,1143.6984126984128
1153,0,pizquita,8,0,2.75,1.0,0,1529.5
1154,0,carolinedaily,13,0,3.238901256602631,0.8571428571428571,0,1109.2550505050506
1155,0,chinaauto,9,0,2.94770277922009,1.25,0,915.7949735449735
1156,0,cityline,8,0,2.75,0.6,0,1149.297619047619
1157,0,sainsonic,9,0,2.5032583347756456,0.8,0,1378.521164021164
1158,0,interbrand,10,0,2.9219280948873623,0.42857142857142855,0,1750.3999999999999
1159,0,mybloggerthemes,15,0,3.3232314287976203,0.36363636363636365,0,1349.5553113553115
1160,0,mamasandpapas,13,0,2.345851989338261,0.625,0,1158.4160839160838
1161,0,xkcd,4,0,2.0,0.0,0,103.05555555555554
1162,0,gleasy,6,0,2.584962500721156,0.5,0,970.3222222222222
1163,0,e-dasher,8,0,2.75,0.75,0,1358.8253968253969
1164,0,sportsport,10,0,2.321928094887362,0.25,0,1584.164814814815
1165,0,irlgov,6,0,2.584962500721156,0.5,0,1274.9444444444446
1166,0,posterplate,11,0,2.9139770731827523,0.5714285714285714,0,2462.5228956228952
1167,0,freeclassifiedlistings,22,0,3.334209459448048,0.5714285714285714,0,1284.5674603174602
1168,0,paidtoexist,11,0,3.095795255000934,0.8333333333333334,0,1563.3373737373738
1169,0,sport195,8,3,3.0,0.25,6,900.063492063492
1170,0,lafucina,8,0,2.75,1.0,0,1533.0357142857144
1171,0,mm111,5,3,0.9709505944546686,0.0,3,151.68333333333334
1172,0,chameleons,10,0,3.121928094887362,0.6666666666666666,0,1935.1546296296299
1173,0,allepaginas,11,0,2.845350936622437,0.8333333333333334,0,1055.554882154882
1174,0,wartune,7,0,2.807354922057604,0.75,0,1702.7619047619046
1175,0,nycitybusinessnews,18,0,3.1279868068776753,0.38461538461538464,0,1210.85348583878
1176,0,kinguin,7,0,2.2359263506290326,0.75,0,1637.9015873015876
1177,0,babesnetwork,12,0,3.2516291673878226,0.5,0,739.030303030303
1178,0,allthewebsites,14,0,3.039148671903071,0.5555555555555556,0,923.6584249084249
1179,0,excelpx,7,0,2.2359263506290326,0.4,0,615.6111111111111
1180,0,wholeliving,11,0,3.095795255000934,0.5714285714285714,0,1341.7723905723906
1181,0,socialflow,10,0,2.9219280948873623,0.6666666666666666,0,1969.9657407407406
1182,0,alibench,8,0,3.0,0.6,0,1270.188492063492
1183,0,swiki,5,0,1.9219280948873623,0.6666666666666666,0,585.6666666666666
1184,0,dev4press,9,1,2.725480556997868,0.3333333333333333,4,1065.1600529100529
1185,0,sexmatchbook,12,0,3.4182958340544896,0.5,0,1353.1535353535353
1186,0,boxinwen,8,0,2.75,0.6,0,1057.5734126984128
1187,0,mexxaseonetworks,16,0,3.327819531114783,0.6,0,568.6285714285714
1188,0,sexxxhd,7,0,2.1280852788913944,0.16666666666666666,0,1156.8968253968253
1189,0,tvboxnow,8,0,2.75,0.3333333333333333,0,834.6329365079364
1190,0,videa,5,0,2.321928094887362,1.5,0,2222.0333333333333
1191,0,myrunclick,10,0,3.121928094887362,0.25,0,1349.6703703703704
1192,0,withings,8,0,2.75,0.3333333333333333,0,1630.2281746031747
1193,0,recordonline,12,0,2.918295834054489,0.7142857142857143,0,1203.7787878787879
1194,0,fanbridge,9,0,3.169925001442312,0.5,0,2028.3829365079366
1195,0,022china,8,3,2.75,0.6666666666666666,1,618.4960317460317
1196,0,ebird,5,0,2.321928094887362,0.6666666666666666,0,1117.05
1197,0,malayogamonline,15,0,3.0565647621309537,0.875,0,1228.1258852258852
